playerID,weight,height,startingAge,timePlayed,endingAge,awards,battingAverage,errorsPerYear,outsPerYear,yearsplayed,assistsPerYear,AVGAtBats,AVGHits
akersbi01,178.0,71.0,24.75,2.83,27.58,0,0.261,5.125,29.375,8.0,41.125,59.38,59.38
albergu01,180.0,66.0,23.67,7.33,31.0,0,0.197,14.2,29.0,5.0,63.2,85.2,85.2
albieoz01,165.0,68.0,20.58,3.08,23.67,0,0.279,5.667,204.333,3.0,304.333,498.67,498.67
albrija01,175.0,69.0,25.92,0.17,26.08,0,0.0,8.0,48.0,1.0,85.0,99.0,99.0
alcanar01,170.0,70.0,22.75,3.08,25.83,0,0.189,0.909,18.455,11.0,11.182,38.91,38.91
alcanis01,180.0,74.0,27.08,2.17,29.25,0,0.27,0.667,10.333,6.0,0.5,19.17,19.17
alcarlu01,165.0,69.0,26.25,2.75,29.0,0,0.192,1.25,26.125,8.0,30.0,45.62,45.62
alcocsc01,160.0,69.0,28.42,0.33,28.75,0,0.173,8.0,30.5,2.0,48.0,78.0,78.0
aldrico01,210.0,72.0,22.25,8.83,31.08,0,0.0,0.0,3.5,2.0,0.0,6.5,6.5
alenoch01,215.0,73.0,24.25,3.33,27.58,0,0.209,1.5,17.125,8.0,19.125,40.0,40.0
alexada01,210.0,75.0,26.0,4.42,30.42,0,0.331,10.143,824.143,7.0,46.857,350.0,350.0
alexaga01,195.0,74.0,22.5,6.0,28.5,0,0.23,2.714,77.929,14.0,7.571,90.93,90.93
alexahu01,190.0,72.0,20.08,0.08,20.17,0,0.0,1.0,2.0,1.0,0.0,11.0,11.0
alexama01,168.0,71.0,26.58,8.17,34.75,0,0.214,0.235,5.176,17.0,1.706,9.88,9.88
alexani01,163.0,64.0,25.58,0.25,25.83,0,0.0,2.8,16.2,5.0,8.6,13.0,13.0
alexawa01,165.0,70.0,21.25,5.25,26.5,0,0.188,5.667,96.5,6.0,36.667,67.33,67.33
alfarja01,185.0,70.0,26.83,0.08,26.92,0,0.0,0.0,2.0,1.0,3.0,11.0,11.0
alfarjo01,230.0,75.0,23.25,4.0,27.25,0,0.266,3.429,296.143,7.0,18.286,128.29,128.29
alfoned01,210.0,71.0,21.42,11.17,32.58,2,0.284,4.417,68.5,24.0,125.917,224.38,224.38
alfonel01,220.0,71.0,27.33,5.25,32.58,0,0.24,2.833,176.5,6.0,12.667,98.5,98.5
alforan01,210.0,73.0,22.83,3.33,26.17,0,0.0,0.333,11.667,3.0,0.0,18.33,18.33
alicelu01,165.0,69.0,22.75,14.42,37.17,0,0.26,4.581,65.161,31.0,91.871,128.1,128.1
allanan01,220.0,77.0,24.33,9.5,33.83,0,0.24,5.2,241.0,10.0,20.8,148.6,148.6
allenau01,219.0,74.0,25.33,1.25,26.58,0,0.0,0.5,65.5,2.0,5.5,32.5,32.5
allenbe01,175.0,72.0,23.0,11.42,34.42,0,0.239,4.762,96.714,21.0,111.762,162.1,162.1
allenbo01,175.0,71.0,22.75,10.17,32.92,0,0.241,36.667,156.222,9.0,241.556,246.22,246.22
allenbo02,180.0,70.0,24.83,0.08,24.92,0,0.0,1.0,8.0,1.0,0.0,22.0,22.0
allenbr01,230.0,74.0,23.5,2.75,26.25,0,0.208,0.857,105.857,7.0,5.286,48.14,48.14
allench01,195.0,73.0,24.17,6.17,30.33,0,0.269,1.286,54.571,7.0,2.143,121.57,121.57
allendi01,187.0,71.0,21.5,13.75,35.25,5,0.292,8.75,273.5,28.0,61.107,226.14,226.14
allendu01,215.0,76.0,27.92,0.25,28.17,0,0.0,0.0,9.8,5.0,0.2,3.2,3.2
allenet01,180.0,73.0,22.42,12.0,34.42,0,0.3,3.733,183.067,15.0,6.867,294.53,294.53
allenga01,185.0,71.0,24.17,6.33,30.5,0,0.221,3.556,196.222,9.0,16.667,117.89,117.89
allengr01,185.0,72.0,24.5,3.0,27.5,0,0.243,1.0,111.667,3.0,3.0,177.0,177.0
allenha02,190.0,72.0,26.17,7.0,33.17,0,0.241,1.389,25.556,18.0,5.278,48.94,48.94
allenhe01,160.0,71.0,21.25,0.0,21.25,0,0.0,0.0,2.0,1.0,0.0,3.0,3.0
allenja02,205.0,72.0,25.0,0.33,25.33,0,0.223,9.0,55.0,1.0,155.0,273.0,273.0
allenje01,178.0,72.0,24.5,2.83,27.33,0,0.26,1.833,99.333,6.0,2.333,171.83,171.83
allenki01,175.0,71.0,27.42,1.0,28.42,0,0.0,0.4,5.4,5.0,8.4,10.2,10.2
allenlu01,208.0,74.0,24.08,0.83,24.92,0,0.0,0.0,4.0,1.0,0.0,7.0,7.0
allenni01,180.0,72.0,25.67,6.42,32.08,0,0.232,7.0,117.833,6.0,40.0,83.33,83.33
allenro01,205.0,75.0,28.67,0.0,28.67,0,0.0,1.0,29.0,1.0,1.0,11.0,11.0
allenro02,185.0,73.0,23.5,5.5,29.0,0,0.0,0.0,3.5,2.0,0.0,25.0,25.0
allensl01,180.0,73.0,23.75,0.25,24.0,0,0.0,1.5,10.5,2.0,3.5,11.5,11.5
alleyge01,160.0,70.0,23.17,10.0,33.17,4,0.254,6.64,75.16,25.0,145.64,157.08,157.08
alliebo01,190.0,72.0,23.0,0.33,23.33,0,0.0,0.0,92.0,1.0,6.0,45.0,45.0
alliega01,190.0,73.0,22.5,0.42,22.92,0,0.199,13.0,105.5,2.0,147.5,209.0,209.0
allisar01,150.0,68.0,22.33,5.42,27.75,0,0.254,6.333,39.667,15.0,3.133,49.4,49.4
allisbo01,205.0,75.0,24.17,12.0,36.17,1,0.255,4.2,177.3,20.0,8.1,251.6,251.6
allismi01,163.0,72.0,22.92,3.75,26.67,0,0.0,0.0,6.667,3.0,0.333,20.0,20.0
allrebe01,190.0,72.0,24.25,1.75,26.0,0,0.23,1.333,40.333,3.0,0.667,55.0,55.0
almadme01,170.0,72.0,20.58,6.08,26.67,0,0.284,4.083,126.167,12.0,6.0,206.92,206.92
almeira01,164.0,69.0,24.08,2.0,26.08,0,0.27,3.5,12.5,8.0,18.75,35.62,35.62
almonab01,223.0,70.0,24.17,7.08,31.25,0,0.239,1.667,59.667,9.0,2.222,114.11,114.11
almonbi01,180.0,75.0,21.83,13.75,35.58,0,0.254,3.844,40.756,45.0,50.333,74.0,74.0
almoner01,245.0,74.0,23.58,9.58,33.17,0,0.233,3.25,14.5,4.0,17.5,33.25,33.25
almonzo01,205.0,72.0,24.0,1.08,25.08,0,0.211,0.0,37.5,2.0,0.5,71.0,71.0
almoral01,190.0,74.0,22.17,4.17,26.33,0,0.274,1.75,175.5,4.0,2.75,298.5,298.5
alomaro01,184.0,72.0,20.17,16.42,36.58,21,0.3,9.15,223.15,20.0,326.8,453.65,453.65
alomasa01,140.0,69.0,20.92,14.0,34.92,0,0.247,3.435,62.804,46.0,75.283,103.0,103.0
alomasa02,200.0,77.0,22.25,19.0,41.25,3,0.273,3.909,348.5,22.0,21.091,205.86,205.86
alonspe01,245.0,75.0,24.25,1.5,25.75,0,0.26,12.0,1078.0,1.0,112.0,597.0,597.0
alonsyo01,230.0,73.0,23.42,9.0,32.42,0,0.259,2.5,339.55,20.0,23.5,168.1,168.1
aloufe01,195.0,72.0,23.08,15.83,38.92,1,0.286,3.0,204.281,32.0,10.062,229.25,229.25
alouje01,190.0,74.0,21.5,16.0,37.5,0,0.28,3.412,99.588,17.0,3.706,255.59,255.59
aloumo01,185.0,75.0,24.0,17.92,41.92,5,0.303,3.611,173.0,18.0,5.278,390.94,390.94
alperwh01,180.0,70.0,26.42,3.5,29.92,0,0.237,14.182,92.091,11.0,114.273,148.36,148.36
alstode01,180.0,72.0,24.67,3.42,28.08,0,0.24,1.4,34.4,5.0,0.8,65.8,65.8
alstoto01,210.0,77.0,28.25,3.42,31.67,0,0.245,2.25,151.25,4.0,18.75,67.25,67.25
altenje01,158.0,69.0,23.67,0.67,24.33,0,0.0,0.0,4.5,2.0,0.0,15.5,15.5
altizda01,160.0,70.0,29.5,5.17,34.67,0,0.25,7.333,95.111,18.0,49.778,96.33,96.33
altmage01,200.0,76.0,26.08,8.5,34.58,0,0.269,2.4,119.467,15.0,5.133,206.07,206.07
altobjo01,185.0,72.0,22.92,6.5,29.42,0,0.21,1.0,87.2,5.0,4.2,51.4,51.4
altuvjo01,166.0,66.0,21.17,9.17,30.33,10,0.315,6.636,165.364,11.0,277.0,453.18,453.18
alusige01,175.0,75.0,23.58,6.08,29.67,0,0.258,0.714,48.286,7.0,2.0,92.57,92.57
alvarcl01,180.0,71.0,32.33,0.08,32.42,0,0.0,0.0,10.0,1.0,0.0,5.0,5.0
alvarda02,180.0,74.0,26.75,0.92,27.67,0,0.0,0.0,8.5,2.0,0.5,16.0,16.0
alvarga01,185.0,73.0,24.25,2.25,26.5,0,0.223,3.8,8.2,5.0,19.0,53.0,53.0
alvarlu01,162.0,69.0,19.67,8.58,28.25,0,0.215,2.857,25.619,21.0,46.048,54.86,54.86
alvaror01,165.0,72.0,21.58,2.75,24.33,0,0.0,0.0,6.5,2.0,0.5,23.0,23.0
alvaros01,165.0,70.0,24.5,1.0,25.5,0,0.212,3.333,42.0,3.0,61.0,66.0,66.0
alvarpe01,250.0,75.0,23.33,8.0,31.33,1,0.236,12.545,122.909,11.0,116.818,270.91,270.91
alvarro01,183.0,71.0,22.42,2.0,24.42,0,0.0,1.0,45.0,2.0,2.0,18.5,18.5
alvarto01,200.0,73.0,23.33,2.08,25.42,0,0.0,0.0,13.5,2.0,0.0,32.0,32.0
alvaryo01,225.0,77.0,22.0,1.17,23.17,0,0.313,1.0,9.0,1.0,1.0,313.0,313.0
alvisma01,185.0,71.0,24.58,8.0,32.58,0,0.247,12.3,96.2,10.0,169.3,362.9,362.9
alvorbi01,187.0,70.0,21.67,8.25,29.92,0,0.254,22.625,55.625,8.0,80.375,133.0,133.0
alyeabr01,215.0,75.0,24.75,7.08,31.83,0,0.247,1.0,34.8,10.0,1.7,86.6,86.6
amalfjo01,175.0,71.0,20.33,13.08,33.42,0,0.245,3.227,39.455,22.0,52.227,77.68,77.68
amarari01,175.0,72.0,29.08,9.08,38.17,0,0.276,0.919,26.0,37.0,14.919,48.32,48.32
amaroru01,170.0,71.0,22.5,11.17,33.67,1,0.234,3.724,52.828,29.0,64.276,74.31,74.31
amaroru02,170.0,70.0,26.33,7.25,33.58,0,0.235,0.545,42.364,11.0,1.545,84.27,84.27
amblewa01,165.0,68.0,21.58,2.25,23.83,0,0.224,12.4,95.6,5.0,136.6,156.4,156.4
ambrech01,190.0,73.0,25.58,3.17,28.75,0,0.233,0.667,34.0,3.0,0.667,63.0,63.0
amelued01,180.0,71.0,25.25,2.0,27.25,0,0.0,0.0,18.0,2.0,0.0,28.5,28.5
amezaal01,165.0,71.0,24.33,9.33,33.67,0,0.248,0.867,27.933,30.0,14.333,46.83,46.83
amorosa01,170.0,67.0,22.58,8.17,30.75,0,0.255,2.286,90.714,7.0,3.143,187.29,187.29
anderal01,165.0,71.0,27.25,5.0,32.25,0,0.239,15.0,86.5,2.0,132.0,194.5,194.5
anderan01,172.0,71.0,25.5,1.42,26.92,0,0.184,2.5,19.667,6.0,25.333,37.17,37.17
anderbr01,170.0,73.0,24.25,14.08,38.33,0,0.256,2.625,232.062,16.0,3.75,406.19,406.19
anderbr03,220.0,74.0,23.42,4.17,27.58,0,0.227,0.833,93.667,6.0,1.167,133.17,133.17
anderbr05,200.0,73.0,23.33,5.5,28.83,0,0.0,0.8,22.6,5.0,1.8,13.4,13.4
anderbr06,208.0,75.0,24.33,3.0,27.33,0,0.267,3.8,74.6,5.0,52.2,226.6,226.6
anderda02,185.0,74.0,22.75,9.42,32.17,0,0.242,2.517,30.828,29.0,53.655,69.86,69.86
anderdr01,195.0,74.0,25.25,0.08,25.33,0,0.0,0.0,1.0,1.0,0.0,9.0,9.0
anderdw01,165.0,71.0,23.83,2.67,26.5,0,0.207,1.923,10.615,13.0,16.923,23.0,23.0
anderfe01,200.0,73.0,28.25,7.42,35.67,0,0.261,5.5,145.0,2.0,19.5,117.0,117.0
anderga01,190.0,75.0,22.08,16.08,38.17,5,0.293,2.824,238.647,17.0,6.412,508.24,508.24
anderge01,160.0,68.0,24.67,4.33,29.0,0,0.287,8.0,146.0,3.0,11.333,335.67,335.67
anderha01,160.0,71.0,28.17,0.0,28.17,0,0.0,0.0,21.0,1.0,1.0,32.0,32.0
anderha02,205.0,75.0,25.58,4.08,29.67,0,0.264,3.0,156.375,8.0,8.625,198.25,198.25
anderji01,170.0,72.0,21.42,6.17,27.58,0,0.218,3.4,25.2,20.0,45.15,48.5,48.5
anderjo01,180.0,74.0,20.75,14.08,34.83,0,0.29,7.871,260.581,31.0,14.323,204.68,204.68
anderjo03,195.0,74.0,25.08,2.08,27.17,0,0.272,1.5,67.0,4.0,1.75,121.5,121.5
anderke01,180.0,73.0,25.67,1.42,27.08,0,0.26,2.714,25.286,7.0,51.714,52.29,52.29
anderla03,215.0,76.0,23.0,1.67,24.67,0,0.0,0.25,28.25,4.0,3.0,10.75,10.75
anderma02,190.0,70.0,24.67,10.58,35.25,0,0.265,3.32,64.76,25.0,70.16,128.0,128.0
andersp01,170.0,69.0,25.17,0.42,25.58,0,0.218,12.0,343.0,1.0,403.0,477.0,477.0
anderti01,185.0,73.0,23.0,4.25,27.25,0,0.276,22.0,177.25,4.0,330.75,515.5,515.5
andinro01,185.0,71.0,21.42,11.0,32.42,0,0.233,1.345,20.862,29.0,35.621,46.34,46.34
andreed01,160.0,68.0,25.08,7.17,32.25,0,0.257,14.667,102.267,15.0,32.4,215.53,215.53
andreer01,200.0,73.0,28.25,0.08,28.33,0,0.0,0.0,8.0,1.0,25.0,41.0,41.0
andrefr01,163.0,68.0,24.33,1.08,25.42,0,0.0,0.0,11.5,2.0,10.5,14.5,14.5
andrejo03,218.0,73.0,27.92,0.33,28.25,0,0.0,0.0,18.5,2.0,0.0,30.5,30.5
andreki01,160.0,70.0,21.42,0.0,21.42,0,0.0,0.0,1.0,1.0,1.0,2.0,2.0
andremi01,195.0,75.0,23.17,7.0,30.17,0,0.258,7.062,134.188,16.0,123.625,194.75,194.75
andrero01,185.0,72.0,22.33,4.42,26.75,0,0.251,6.556,96.222,9.0,128.444,161.56,161.56
andresh01,215.0,73.0,23.67,7.42,31.08,0,0.22,5.429,41.929,14.0,70.786,121.71,121.71
andrest01,178.0,71.0,22.17,6.25,28.42,0,0.215,2.4,30.8,5.0,5.2,29.8,29.8
andrewa01,170.0,75.0,24.67,4.25,28.92,0,0.197,2.2,76.2,5.0,4.4,28.4,28.4
andruel01,210.0,72.0,20.67,11.42,32.08,0,0.275,17.364,226.909,11.0,402.364,569.36,569.36
andujmi01,211.0,72.0,22.25,3.25,25.5,0,0.287,6.0,31.333,3.0,62.0,209.0,209.0
anglema01,185.0,69.0,25.83,0.17,26.0,0,0.0,2.0,62.0,1.0,0.0,79.0,79.0
angleto01,190.0,68.0,24.5,0.0,24.5,0,0.0,1.0,23.0,1.0,7.0,16.0,16.0
ankenpa01,125.0,64.0,23.33,8.17,31.5,0,0.0,0.75,3.75,4.0,6.5,6.5,6.5
annisbi01,150.0,67.0,27.0,0.25,27.25,0,0.0,3.0,22.0,1.0,5.0,96.0,96.0
anthoer01,195.0,74.0,21.67,8.17,29.83,0,0.231,2.0,88.727,11.0,4.091,181.73,181.73
antoljo01,185.0,72.0,28.42,0.0,28.42,0,0.0,0.0,9.0,1.0,1.0,6.0,6.0
antonbi01,185.0,71.0,25.92,0.42,26.33,0,0.0,1.0,27.0,1.0,0.0,43.0,43.0
antonjo01,165.0,70.0,29.17,1.0,30.17,0,0.253,2.5,26.125,8.0,32.625,65.62,65.62
antonma01,195.0,73.0,23.42,0.0,23.42,0,0.0,2.0,38.0,1.0,34.0,57.0,57.0
aparilu01,160.0,69.0,22.0,17.42,39.42,15,0.262,20.333,252.667,18.0,445.333,568.33,568.33
applilu01,183.0,70.0,23.42,20.08,43.5,10,0.31,24.0,166.929,28.0,269.393,316.29,316.29
aquinar01,220.0,76.0,24.33,2.08,26.42,0,0.259,0.667,32.333,3.0,1.0,68.33,68.33
aragoan01,150.0,65.0,24.0,2.92,26.92,0,0.0,0.667,4.5,6.0,5.0,12.67,12.67
archdma01,153.0,68.0,24.75,1.67,26.42,0,0.333,4.0,73.0,3.0,3.0,128.0,128.0
archeji01,168.0,70.0,21.33,14.0,35.33,9,0.25,6.174,167.87,23.0,44.0,114.96,114.96
archige01,170.0,72.0,24.42,7.58,32.0,0,0.274,4.75,93.75,4.0,45.0,104.75,104.75
arciajo01,170.0,75.0,24.67,2.42,27.08,0,0.215,2.462,29.231,13.0,35.385,47.31,47.31
arciaor01,187.0,72.0,22.0,4.08,26.08,0,0.243,13.5,178.25,4.0,292.0,387.25,387.25
arciaos01,225.0,72.0,21.92,3.42,25.33,0,0.235,1.667,83.333,6.0,2.667,163.5,163.5
ardelda01,190.0,74.0,20.33,0.0,20.33,0,0.0,0.0,13.0,1.0,0.0,4.0,4.0
ardnejo01,160.0,67.0,26.25,6.25,32.5,0,0.212,20.0,86.667,3.0,109.333,138.33,138.33
ardoida01,205.0,72.0,26.08,8.08,34.17,0,0.206,2.0,153.0,6.0,14.167,70.5,70.5
arenano01,215.0,74.0,22.0,7.42,29.42,8,0.295,12.571,97.429,7.0,330.286,562.29,562.29
arftha01,190.0,70.0,26.5,3.83,30.33,0,0.253,4.5,545.5,4.0,46.0,226.5,226.5
ariasal01,185.0,75.0,24.5,10.33,34.83,0,0.266,1.567,21.5,30.0,34.067,58.87,58.87
