playerID,birthYear,weight,height,startingAge,timePlayed,endingAge,awards,battingAverage,totalAtBats,totalHits,Value Counts
bertijo01,1990.0,190.0,70.0,28.67,2.0,30.67,0,0.273,271.0,74.0,16
bertore01,1935.0,185.0,71.0,18.67,8.58,27.25,0,0.244,1744.0,425.0,16
beschbo01,1884.0,200.0,73.0,24.58,10.0,34.58,0,0.258,4536.0,1171.0,16
beswiji01,1958.0,180.0,73.0,20.5,0.08,20.58,0,0.05,20.0,1.0,16
betanyu01,1982.0,205.0,70.0,23.5,8.17,31.67,0,0.261,4052.0,1057.0,16
betchfr01,1888.0,173.0,71.0,22.25,0.42,22.67,0,0.202,89.0,18.0,16
betemwi01,1981.0,220.0,74.0,19.83,12.0,31.83,0,0.268,2080.0,558.0,16
bethebi01,1942.0,175.0,72.0,22.67,0.0,22.67,0,0.167,30.0,5.0,16
bettela01,1905.0,195.0,71.0,22.75,4.25,27.0,0,0.258,395.0,102.0,11
bettsmo01,1992.0,180.0,69.0,21.67,6.25,27.92,5,0.301,3203.0,965.0,16
betzebr01,1894.0,158.0,69.0,19.75,4.0,23.75,0,0.232,1435.0,333.0,11
bevacku01,1947.0,180.0,72.0,24.42,14.33,38.75,0,0.236,2117.0,499.0,16
bevanha01,1930.0,198.0,74.0,21.42,9.08,30.5,0,0.35,20.0,7.0,16
bevilmo01,1875.0,180.0,71.0,28.17,1.5,29.67,0,0.203,454.0,92.0,16
biancbu01,1960.0,160.0,71.0,22.58,5.08,27.67,0,0.205,550.0,113.0,16
biancje01,1986.0,185.0,71.0,25.75,2.92,28.67,0,0.216,375.0,81.0,16
biancto01,1952.0,190.0,71.0,22.42,0.33,22.75,0,0.176,34.0,6.0,16
biasaha01,1922.0,175.0,71.0,27.25,0.5,27.75,0,0.083,24.0,2.0,11
bichebo01,1998.0,185.0,72.0,21.33,1.17,22.5,0,0.311,196.0,61.0,16
bicheda01,1963.0,215.0,75.0,24.83,13.08,37.92,2,0.299,6381.0,1906.0,16
bielaos01,1847.0,170.0,70.0,25.08,4.33,29.42,0,0.24,746.0,179.0,16
biesest01,1967.0,170.0,70.0,29.67,1.25,30.92,0,0.25,80.0,20.0,16
bigbeca01,1895.0,157.0,69.0,21.42,10.0,31.42,2,0.287,4192.0,1205.0,11
bigbila01,1977.0,190.0,76.0,23.58,5.0,28.58,0,0.267,1227.0,328.0,16
bigelel01,1897.0,185.0,71.0,31.5,0.5,32.0,0,0.284,211.0,60.0,11
biggica01,1995.0,200.0,74.0,24.08,1.33,25.42,0,0.234,354.0,83.0,16
biggicr01,1965.0,185.0,71.0,22.5,19.25,41.75,17,0.281,10876.0,3060.0,16
bignege01,1858.0,160.0,69.0,26.17,0.08,26.25,0,0.222,9.0,2.0,16
bilarda01,1959.0,185.0,72.0,23.92,9.5,33.42,0,0.204,949.0,194.0,16
bilkost01,1928.0,230.0,73.0,20.83,12.92,33.75,0,0.249,1738.0,432.0,16
billidi01,1942.0,195.0,73.0,25.75,6.75,32.5,0,0.228,1228.0,280.0,16
billijo01,1891.0,165.0,71.0,21.83,9.92,31.75,0,0.223,476.0,106.0,11
binksge01,1914.0,175.0,72.0,30.17,3.83,34.0,0,0.253,1093.0,277.0,11
birasst01,1917.0,185.0,71.0,27.58,0.0,27.58,0,1.0,2.0,2.0,11
birdfr01,1869.0,195.0,70.0,23.08,0.17,23.25,0,0.2,50.0,10.0,16
birdge01,1850.0,150.0,69.0,20.92,0.33,21.25,0,0.264,106.0,28.0,16
