playerID,birthYear,weight,height,startingAge,awards,hasntBatted,doublePlays,InnOuts,ERA,stikeOutAVG,errorAVG,assistAVG,DoublePlayAVG,BattersAVG,WinsAVG
kellyme01,1988.0,210.0,74.0,30.5,0,0.0,2.0,32.0,4.418,7.756,0.196,0.687,0.098,38.144,0.638
kelsobi01,1940.0,215.0,76.0,24.42,0,0.0,1.0,119.0,3.134,7.254,0.09,1.433,0.045,38.194,0.537
kemmeru01,1930.0,198.0,74.0,23.58,0,0.0,12.0,302.0,4.463,4.261,0.127,1.527,0.101,39.057,0.363
kendrky01,1984.0,220.0,75.0,22.83,0,0.0,14.0,255.0,4.684,4.921,0.091,1.529,0.098,39.055,0.565
kennebi02,1921.0,195.0,74.0,27.08,0,0.0,1.0,9.0,4.726,4.958,0.0,0.058,0.019,41.546,0.291
kennebr01,1867.0,160.0,71.0,24.5,0,0.0,29.0,407.0,3.956,2.373,0.169,2.284,0.086,39.46,0.555
kenneia01,1984.0,210.0,72.0,22.75,0,0.0,10.0,354.0,4.094,8.316,0.051,0.779,0.051,38.173,0.494
kennejo04,1979.0,227.0,76.0,22.08,0,0.0,8.0,222.0,4.794,5.527,0.218,1.268,0.079,39.767,0.426
kennete01,1865.0,178.0,68.0,20.33,0,0.0,1.0,34.0,4.32,3.748,0.254,1.747,0.032,41.548,0.381
kensilo01,1982.0,190.0,73.0,22.17,0,1.0,2.0,157.0,5.697,7.828,0.099,0.842,0.099,41.119,0.495
kentst01,1978.0,170.0,71.0,23.5,0,1.0,2.0,34.0,5.651,6.436,0.314,1.099,0.314,42.698,0.0
keougma02,1955.0,190.0,75.0,22.17,0,0.0,16.0,215.0,4.175,4.462,0.121,1.066,0.121,39.003,0.439
keppebo01,1982.0,215.0,77.0,23.92,0,1.0,2.0,49.0,5.361,5.166,0.0,1.365,0.195,40.841,0.097
kepshku01,1959.0,180.0,73.0,25.0,0,0.0,1.0,51.0,4.162,4.794,0.133,1.032,0.033,38.586,0.533
kerfech01,1963.0,225.0,78.0,21.83,0,0.0,2.0,123.0,4.195,6.917,0.223,0.714,0.089,39.63,0.803
keriagu01,1931.0,187.0,75.0,19.25,0,0.0,1.0,27.0,5.62,5.131,0.0,0.977,0.122,41.05,0.244
kernji01,1949.0,185.0,77.0,25.5,3,1.0,7.0,416.0,3.324,7.385,0.182,1.305,0.079,38.821,0.601
kerrijo01,1954.0,205.0,77.0,22.5,0,1.0,8.0,131.0,3.886,4.377,0.164,1.882,0.327,38.986,0.327
kershcl01,1988.0,225.0,76.0,20.17,10,0.0,15.0,347.0,2.441,9.749,0.036,1.306,0.059,35.443,0.669
kershja01,1976.0,165.0,74.0,25.58,0,1.0,2.0,89.0,4.216,5.831,0.09,0.987,0.179,38.571,0.269
kesteri01,1946.0,190.0,72.0,22.08,0,1.0,0.0,21.0,5.975,6.861,0.443,0.664,0.0,41.828,0.0
keuchda01,1988.0,220.0,74.0,24.42,4,0.0,19.0,211.0,3.671,7.161,0.062,1.756,0.131,37.493,0.581
keyji01,1961.0,185.0,73.0,23.0,5,1.0,35.0,470.0,3.507,5.341,0.076,1.57,0.122,37.224,0.646
keysebr01,1966.0,180.0,73.0,28.67,0,1.0,4.0,51.0,4.974,3.967,0.118,1.954,0.237,40.204,0.355
kickhmi01,1988.0,220.0,76.0,24.42,0,0.0,0.0,14.0,10.978,8.901,0.297,1.78,0.0,47.473,0.0
kidama01,1968.0,210.0,75.0,30.58,0,0.0,2.0,65.0,5.833,6.397,0.0,0.847,0.188,40.641,0.094
kieckda01,1961.0,180.0,75.0,29.17,0,1.0,2.0,50.0,4.679,5.334,0.14,1.778,0.094,39.073,0.468
kiefema01,1968.0,175.0,76.0,24.83,0,1.0,1.0,44.0,4.293,6.891,0.0,0.565,0.113,39.088,0.565
kiekhde01,1989.0,175.0,72.0,26.92,0,1.0,0.0,30.0,6.375,5.625,0.0,1.125,0.0,42.0,0.0
kielyjo01,1964.0,210.0,75.0,26.75,0,1.0,5.0,54.0,4.173,2.945,0.0,2.455,0.614,40.745,0.491
kielyle01,1929.0,180.0,74.0,21.58,0,0.0,8.0,192.0,3.373,3.648,0.103,1.446,0.138,39.046,0.447
kiescbr01,1972.0,225.0,76.0,23.83,0,0.0,2.0,126.0,4.594,6.281,0.562,1.312,0.188,39.844,0.188
kikucyu01,1991.0,200.0,72.0,27.75,0,1.0,1.0,32.0,5.456,6.458,0.056,0.668,0.056,40.138,0.334
kilbybr01,1983.0,235.0,73.0,26.58,0,1.0,0.0,16.0,1.066,9.947,0.0,0.355,0.0,34.461,0.355
kileda01,1968.0,185.0,77.0,22.33,0,0.0,22.0,359.0,4.123,6.933,0.112,1.193,0.091,39.191,0.553
kilgupa01,1962.0,175.0,73.0,25.33,0,0.0,8.0,163.0,4.192,4.142,0.165,1.436,0.132,38.751,0.347
kilkemi01,1945.0,175.0,75.0,24.0,0,0.0,3.0,139.0,4.434,6.607,0.088,1.427,0.066,39.973,0.505
killefr01,1870.0,200.0,73.0,20.75,0,0.0,14.0,327.0,3.777,2.598,0.294,2.193,0.05,39.246,0.588
killied01,1876.0,170.0,71.0,26.75,0,0.0,10.0,217.0,2.382,2.906,0.152,2.579,0.056,36.646,0.58
kilroma01,1866.0,175.0,69.0,19.83,0,0.0,13.0,342.0,3.47,4.323,0.358,2.254,0.048,39.183,0.521
kilromi01,1869.0,180.0,71.0,18.83,0,0.0,0.0,4.0,9.0,1.895,0.0,0.947,0.0,45.0,0.0
kimbesa01,1852.0,165.0,70.0,31.58,0,0.0,0.0,42.0,3.972,3.07,0.755,1.779,0.0,39.087,0.439
kimbrcr01,1988.0,215.0,71.0,22.0,5,1.0,2.0,565.0,2.082,14.606,0.033,0.602,0.033,35.507,0.504
kimby01,1979.0,176.0,71.0,20.33,0,0.0,6.0,394.0,4.42,8.625,0.128,1.327,0.064,39.467,0.578
kimsu01,1977.0,180.0,74.0,23.75,0,0.0,1.0,118.0,5.315,5.635,0.134,0.855,0.027,40.593,0.347
kindeel01,1914.0,195.0,72.0,31.75,2,0.0,1.0,143.0,3.431,4.556,0.012,0.128,0.006,38.356,0.62
kingcu01,1970.0,200.0,77.0,26.83,0,1.0,1.0,68.0,3.43,4.648,0.0,1.549,0.111,39.836,0.664
